,username,type,country,timestamp,english_score,universal_score,English,date of analysis,relevant_score
68,namjin_kimm,Bot,estonia,1580637857,3.1,3.1,0,5/1/20,3.1
69,Qnua1,Bot,estonia,1584081576,1.3,0.9,0,5/1/20,0.9
70,veskcarmen,Bot,estonia,1580237060,0.9,0.8,1,5/1/20,0.9
71,R34LFacTs1,Bot,uk,1581777060,0.3,0.5,1,5/1/20,0.3
72,Caparosa52,Suspect,usa,1585180800,2.4,2.9,1,5/1/20,2.4
73,carthag90184426,Suspect,eu,1584921600,1.2,0.2,1,5/1/20,1.2
74,caselvis58,Suspect,usa,1581638400,1.6,2.4,1,5/1/20,1.6
75,Caseysprout,Suspect,eu,1586217600,1.0,0.7,1,5/1/20,1.0
76,CTrekur,Suspect,uk,1580601600,1.5,0.5,1,5/1/20,1.5
77,Corsiar9,Suspect,usa,1576886400,0.5,0.4,1,5/1/20,0.5
78,colin_goodayle,Suspect,usa,1585872000,0.2,0.5,1,5/1/20,0.2
79,Corsiar9,Suspect,usa,1576886400,0.5,0.4,1,5/1/20,0.5
80,cjsienna55,Suspect,eu,1583625600,0.6,1.3,1,5/1/20,0.6
81,0807ankit,Suspect,eu,1583107200,3.9,1.3,1,5/1/20,3.9
82,100011crusader,Suspect,eu,1585699200,1.0,1.5,1,5/1/20,1.0
83,10WallStreet,Suspect,eu,1582588800,1.4,1.8,1,5/1/20,1.4
84,18dPl,Suspect,sweden,1582934400,1.4,1.7,1,5/1/20,1.4
85,18hariprakash18,Suspect,eu,1585872000,3.9,3.3,1,5/1/20,3.9
86,55_Thunderbolt,Suspect,eu,1586217600,2.7,3.0,1,5/1/20,2.7
87,5b20be6386164f8,Suspect,eu,1584057600,1.4,2.5,1,5/1/20,1.4
88,actiontiff,Suspect,eu,1575849600,0.6,0.7,1,5/1/20,0.6
